,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_eta,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.03270292282104492,6.659825642903645e-05,0.8614718614718615,0.8777056277056277,1,0.05,0.1,0.6,"{'C': 1, 'eta': 0.05, 'lamda': 0.1, 'threshold': 0.6}",1,0.8896103896103896,0.8733766233766235,0.8701298701298702,0.8831168831168832,0.8246753246753248,0.8766233766233766,0.002082288860393119,1.4257794279519796e-05,0.0272073703246245,0.0040494127562488505
1,0.0342871348063151,7.065137227376302e-05,0.8614718614718615,0.8744588744588745,1,0.1,0.5,0.4,"{'C': 1, 'eta': 0.1, 'lamda': 0.5, 'threshold': 0.4}",1,0.8831168831168832,0.8636363636363636,0.8701298701298702,0.8798701298701299,0.8311688311688312,0.8798701298701299,0.0013688009968861943,2.541243329046258e-05,0.022073677548020722,0.007652670792062218
2,0.03339791297912598,8.002916971842448e-05,0.8593073593073594,0.8593073593073592,1,0.1,0.1,0.6,"{'C': 1, 'eta': 0.1, 'lamda': 0.1, 'threshold': 0.6}",3,0.8896103896103896,0.8441558441558442,0.8636363636363636,0.8571428571428572,0.8246753246753248,0.8766233766233766,0.00126072865057459,2.785203441865635e-05,0.026685774904627566,0.013342887452313783
3,0.03277770678202311,6.37372334798177e-05,0.8593073593073594,0.8733766233766233,1,0.05,0.5,0.4,"{'C': 1, 'eta': 0.05, 'lamda': 0.5, 'threshold': 0.4}",3,0.8896103896103896,0.8668831168831169,0.8636363636363636,0.8766233766233766,0.8246753246753248,0.8766233766233766,0.0006993740254000072,1.8666142983354574e-05,0.026685774904627566,0.00459160247523731
4,0.03275871276855469,6.087621053059896e-05,0.8593073593073594,0.8419913419913421,1,0.02,0.5,0.5,"{'C': 1, 'eta': 0.02, 'lamda': 0.5, 'threshold': 0.5}",3,0.8766233766233766,0.8311688311688312,0.8246753246753248,0.8409090909090909,0.8766233766233766,0.8538961038961039,0.0008453348734437387,1.1081264215341283e-05,0.024488546534599004,0.009309875830132704
5,0.033227125803629555,6.97771708170573e-05,0.8593073593073594,0.8593073593073592,1,0.1,0.1,0.5,"{'C': 1, 'eta': 0.1, 'lamda': 0.1, 'threshold': 0.5}",3,0.8896103896103896,0.8441558441558442,0.8636363636363636,0.8571428571428572,0.8246753246753248,0.8766233766233766,0.0012798683934746816,1.450287149690873e-05,0.026685774904627566,0.013342887452313783
6,0.0331268310546875,8.893013000488281e-05,0.8593073593073594,0.8820346320346321,2,0.02,0.5,0.4,"{'C': 2, 'eta': 0.02, 'lamda': 0.5, 'threshold': 0.4}",3,0.8831168831168832,0.8863636363636365,0.8701298701298702,0.8831168831168832,0.8246753246753248,0.8766233766233766,0.0010328124066374203,2.778164756259159e-05,0.025055924032013458,0.00404941275624889
7,0.03412238756815592,5.737940470377604e-05,0.8593073593073594,0.8593073593073592,1,0.1,0.1,0.4,"{'C': 1, 'eta': 0.1, 'lamda': 0.1, 'threshold': 0.4}",3,0.8896103896103896,0.8441558441558442,0.8636363636363636,0.8571428571428572,0.8246753246753248,0.8766233766233766,0.002479088357097266,9.346765154513776e-06,0.026685774904627566,0.013342887452313783
8,0.033338069915771484,6.67572021484375e-05,0.8571428571428571,0.8798701298701298,2,0.1,0.1,0.5,"{'C': 2, 'eta': 0.1, 'lamda': 0.1, 'threshold': 0.5}",9,0.8766233766233766,0.8733766233766235,0.8701298701298702,0.8896103896103896,0.8246753246753248,0.8766233766233766,0.0022367899289406842,2.1753218479340932e-05,0.023110558987080726,0.007013788634640517
9,0.03284660975138346,7.216135660807292e-05,0.8571428571428571,0.8571428571428572,1,0.1,0.5,0.5,"{'C': 1, 'eta': 0.1, 'lamda': 0.5, 'threshold': 0.5}",9,0.8701298701298702,0.8246753246753248,0.8441558441558442,0.8668831168831169,0.8571428571428572,0.8798701298701299,0.0016295731381586946,2.049136450286705e-05,0.010603851700360082,0.023562273871295683
